Member Group,Email,Website,City,State
14 Friends of Palestine - Marin,14friendsofpalestine@gmail.com,http://14friendsofpalestine.org/,San Rafael,CA
Marylanders for a Free Palestine and a Secure Israel,2bobkras@gmail.com,,Ellicott City,MD
Palestine Legal,acampion@palestinelegal.org,http://palestinelegal.org/,Chicago,IL
Artists Against Apartheid,action@artistsagainstapartheid.org,http://www.artistsagainstapartheid.org,Buffalo,NY
South Bay Mobilization,activist@sbm4peace.org,http://www.southbaymobilization.org,San Jose,CA
Visualizing Palestine,admin@visualizingpalestine.org,visualizingpalestine.org,New York,NY
Peace and Social Justice Center of South Central Kansas,admin@wichitapeace.org,http://www.wichitapeace.org/,Wichita,KS
InterDenominational Advocates for Peace (IDAP),agr1@me.com,,Ann Arbor,MI
United Church of Christ Palestine/Israel Network (UCC PIN),allie.perry@gmail.com,http://www.uccpalestineisraelnetwork.org/,New Haven,CT
Al-Awda PRRC,amanibarakat@gmail.com,www.al-awda.org,Coral Springs,FL
We Refuse to be Enemies,antar@ccsu.edu,,Bristol,CT
Interfaith Peace Initiative,apassionforpeace@aol.com,http://www.interfaithpeaceinitiative.com/index.htm,Tiverton,RI
Working for Peace and Justice: Hebron Freedom Fund,Arielgold19@gmail.com,hebronfreedomfund.org,Ithaca,NY
Bryn Mawr Peace Coalition,astrique@aol.com,http://brynmawrpeace.org/,Bryn Mawr,PA
Church of the Savior Friend of Jesus Jubilee Church,azzi70@hotmail.com,,Arlington,VA
Jewish Voice for Peace- Bay Area,bayarea@jvp.org,http://www.jvp-bayarea.org/,Oakland,CA
BDS Earlham,bdsearlham@gmail.com,http://bdsearlham.wordpress.com/,Richmond,IN
Brooklyn For Peace,bfp@brooklynpeace.org,http://www.brooklynpeace.org/,Brooklyn,NY
Students for Justice in Palestine at Brooklyn College,brooklyncollegesjp@gmail.com,http://www.brooklynsjp.com/,New York,NY
Progressive Democrats of America,brt@brucetaub.net,http://www.pdamerica.org,Orleans,MA
Arab Americans of Central Ohio,bshehada@aol.com,http://www.aaco-ohio.org/,Hilliard,OH
Citizens for a Just Peace in Palestine/Israel,bstoeltje@gmail.com,,Bloomington,IN
Justice for Palestinians,cats4jazz@gmail.com,,San Jose,CA
Cape Codders for Peace and Justice,ccpandj@gmail.com,www.capecodpeaceandjustice.org,Cotuit,MA
Mid-South Peace & Justice Center,center@midsouthpeace.org,http://www.midsouthpeace.org,Memphis,TN
Manhattan Alliance for Peace and Justice,chair@mapj.org,http://www.mapj.org/,Manhattan,KS
Chico Palestine Action Group,chicopalestineaction@gmail.com,http://www.chicopeace.org/cpag,Chico,CA
Citizens for Justice in the Middle East,cjme.kc.info@gmail.com,http://www.cjme.org/,Shawnee,KS
Committee for Justice in Palestine- Ohio State University,cjp.at.osu@gmail.com,http://cjposu.wordpress.com/,Columbus,OH
Ithaca Committee for Justice in Palestine,cnycjp@gmail.com,http://ithacacjp.com,Ithaca,NY
CODEPINK NYC,codepinknyc@gmail.com,http://www.codepinknyc.org,New York,NY
Massachusetts Peace Action,cole@masspeaceaction.org,www.masspeaceaction.org,Cambridge,MA
Columbia Students for Justice in Palestine,columbiasjp@gmail.com,http://columbiasjp.org/,New York,NY
International Socialist Organization,contact@internationalsocialist.org,http://www.internationalsocialist.org,Chicago,IL
Rebuilding Alliance,Contact@rebuildingalliance.org,http://www.rebuildingalliance.org,San Mateo,CA
Arab Jewish Partnership for Peace and Justice in the Middle East,coordinators@arabjewishpartnership.org,http://www.arabjewishpartnership.org,Oak Park,IL
Students for Justice in Palestine- Cornell University,cornells4jp@gmail.com,http://cornellsjp.wix.com/home,Ithaca,NY
"Committee for Palestinian Rights (Howard County, MD)",CPR_Maryland@yahoo.com,,Columbia,MD
Citizens for Palestinian Self Determination,cpsd@rocketmail.com,,Lincoln,NE
Coalition for Peace with Justice,cpwj.contact@gmail.com,http://www.peace-with-justice.org,Chapel Hill,NC
Middle East Research and Information Project (MERIP),ctoensing@merip.org,http://www.merip.org,Washington,DC
Clark University Students for Palestinian Rights,cuspr.clark@gmail.com,,Worcester,MA
Committee for a Just Peace in Israel and Palestine,cvslevy@aol.com,http://www.cjpip.org,Oak Park,IL
Vancouver for Peace,dadkin@spiritone.com,http://home.comcast.net/~v4p/,Camas,WA
Wellstone Democratic Renewal Club,davidfielder@comcast.net,http://www.wellstoneclub.org/,Berkeley,CA
American Friends Service Committee- West Region,dbaum@afsc.org,https://afsc.org/office/san-francisco-ca,San Francisco,CA
Davis Committee for Palestinian Rights,DCPR@riseup.net,http://groups.dcn.org/dcpr,Davis,CA
Delawareans for Palestinian Human Rights,delawarephr@gmail.com,http://www.delphr.org/,Wilmington,DE
University of Denver Students for Justice in Palestine,denversjp@gmail.com,http://denversjp.wix.com/dusjp,Denver,CO
Birmingham Peace Project,dianemcnaron@aol.com,http://www.bhampeaceproject.org/,Birmingham,AL
Sonomans for Justice and Peace in Palestine,dickridenour@yahoo.com,,Sonoma,CA
Western New York Peace Center,director@wnypeace.org,http://www.wnypeace.org,Buffalo,NY
People for Palestinian - Israeli Justice,dkortheu@gmail.com,,Long Beach,CA
Olympia Friends Meeting (Quakers),dschumann66@gmail.com,http://olympiafriends.org/,Olympia,WA
DC Statehood Green Party,dschwartzman@gmail.com,https://dcsgp.nationbuilder.com/,Washington,DC
Peregrine Forum,dvdwilliams51@tds.net,,Madison,WI
"General Board of Global Ministries, The United Methodist Church",dwildman@gbgm-umc.org,http://gbgm-umc.org,New York,NY
